gap_id,gap_type,strategy,from_street,to_street,route_found,fallback_route,total_length_m,straight_line_m,detour_ratio,worst_lts,lts_problem_length_m,lts_problem_pct,upgrade_complexity,dominant_facility,estimated_cost_cad,route_quality,notes
GAP-120,dangling,lts,Duke Street West,Victoria Street North,True,False,251.6,235.7,1.07,4,251.6,100.0,complex,grade_separated_path,2012777,poor,
GAP-126,dangling,lts,Conestoga Parkway,King Street North,False,False,0.0,196.4,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-096,dangling,lts,Marcon Court,Unnamed service,False,False,0.0,316.2,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-044,detour,lts,Columbia Street West,Unnamed service,False,False,0.0,318.1,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-094,dangling,lts,Jubilee Drive,Queen Street South,False,False,0.0,323.4,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-112,dangling,lts,River Road East,Krug Street,True,False,287.6,267.3,1.08,4,287.6,100.0,complex,protected_cycle_track,718958,poor,
GAP-113,dangling,lts,University Avenue West,Westmount Road North,True,False,306.4,265.5,1.15,4,306.4,100.0,complex,grade_separated_path,2451415,poor,
GAP-030,corridor,lts,Erb Street West,Erb Street West,True,False,1776.1,772.6,2.3,4,910.8,51.3,complex,protected_cycle_track,7616270,poor,
GAP-042,detour,lts,David Street,Highland Road East,True,False,1286.7,553.7,2.32,4,1098.1,85.3,complex,painted_cycle_lane,4287603,poor,
GAP-132,dangling,lts,Bleams Road,Harding Street,False,False,0.0,159.4,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-131,dangling,lts,Sleepy Hollow Court,Sleepy Hollow Court,False,False,0.0,161.3,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-041,detour,lts,Highland Road East,Mill Street,True,False,1774.7,385.2,4.61,4,1241.9,70.0,complex,painted_cycle_lane,1963164,poor,Route detour ratio 4.6x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-086,dangling,lts,Albert Street,MidCampus Drive,True,False,745.1,334.4,2.23,4,593.8,79.7,complex,protected_cycle_track,3670686,poor,
GAP-127,dangling,lts,Highbrook Street,Westmount Road East,True,False,157.4,170.1,0.93,3,157.4,100.0,complex,painted_cycle_lane,47218,fair,
GAP-080,dangling,lts,Unnamed service,Father David Bauer Drive,False,False,0.0,353.8,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-106,dangling,lts,Country Hill Drive,Homer Watson Boulevard,False,False,0.0,279.0,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-121,dangling,lts,Boniface Avenue,Walton Avenue,False,False,0.0,235.5,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-140,dangling,lts,Fairway Road North,Fairway Road North,True,False,2600.6,91.5,28.41,4,2600.6,100.0,complex,painted_cycle_lane,4278937,poor,Route detour ratio 28.4x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-128,dangling,lts,Sims Estate Drive,Sims Estate Drive,False,False,0.0,165.5,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-147,dangling,lts,Franklin Street North,Franklin Street South,True,False,61.3,61.3,1.0,4,61.3,100.0,complex,protected_cycle_track,153320,poor,
GAP-014,island,lts,Sydney Street South,Ottawa Street South,False,False,0.0,359.4,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-083,dangling,lts,Shirley Avenue,Victoria Street North,True,False,1862.7,347.1,5.37,4,1862.7,100.0,complex,grade_separated_path,13139110,poor,Route detour ratio 5.4x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-046,detour,lts,Highland Road West,Marlborough Avenue,False,False,0.0,435.3,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-066,connector,lts,Ottawa Street South,Milfoil Crescent,False,False,0.0,413.8,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-058,connector,lts,University Avenue West,Unnamed service,True,False,1322.8,460.2,2.87,4,784.8,59.3,complex,grade_separated_path,7369713,poor,Route detour ratio 2.9x exceeds threshold (2.5x) — direct corridor study recommended.
GAP-095,dangling,lts,Bridge Street East,Lancaster Street West,False,False,0.0,320.8,1.0,1,0.0,0.0,,,0,,No road network path found between endpoints. Check if endpoints are in disconnected road graph areas.
GAP-088,dangling,lts,Block Line Road,Vanier Drive,True,False,659.1,332.9,1.98,4,659.1,100.0,complex,painted_cycle_lane,2190059,poor,
